model_id,z,mu_theory,H0_km_s_Mpc
EdS,0.001,28.15915584,70
open_matter,0.001,28.15953586,70
flat_LCDM,0.001,28.16029496,70
EdS,0.007025125628,32.39568085,70
open_matter,0.007025125628,32.39835065,70
flat_LCDM,0.007025125628,32.40364507,70
EdS,0.01305025126,33.74373501,70
open_matter,0.01305025126,33.74869478,70
flat_LCDM,0.01305025126,33.75845933,70
EdS,0.01907537688,34.57121261,70
open_matter,0.01907537688,34.57846239,70
flat_LCDM,0.01907537688,34.59263275,70
EdS,0.02510050251,35.17044175,70
open_matter,0.02510050251,35.17998146,70
flat_LCDM,0.02510050251,35.19849414,70
EdS,0.03112562814,35.64077966,70
open_matter,0.03112562814,35.65260909,70
flat_LCDM,0.03112562814,35.67540145,70
EdS,0.03715075377,36.02816353,70
open_matter,0.03715075377,36.04228234,70
flat_LCDM,0.03715075377,36.06929255,70
EdS,0.0431758794,36.35764495,70
open_matter,0.0431758794,36.37405269,70
flat_LCDM,0.0431758794,36.40521975,70
EdS,0.04920100503,36.64440003,70
open_matter,0.04920100503,36.66309611,70
flat_LCDM,0.04920100503,36.69835981,70
EdS,0.05522613065,36.89832224,70
open_matter,0.05522613065,36.91930599,70
flat_LCDM,0.05522613065,36.95860689,70
EdS,0.06125125628,37.12622128,70
open_matter,0.06125125628,37.14949189,70
flat_LCDM,0.06125125628,37.19277135,70
EdS,0.06727638191,37.33298491,70
open_matter,0.06727638191,37.35854149,70
flat_LCDM,0.06727638191,37.40574161,70
EdS,0.07330150754,37.52224047,70
open_matter,0.07330150754,37.550082,70
flat_LCDM,0.07330150754,37.60114564,70
EdS,0.07932663317,37.69675413,70
open_matter,0.07932663317,37.72687951,70
flat_LCDM,0.07932663317,37.78175026,70
EdS,0.08535175879,37.85868365,70
open_matter,0.08535175879,37.89109167,70
flat_LCDM,0.08535175879,37.94971386,70
EdS,0.09137688442,38.0097447,70
open_matter,0.09137688442,38.04443405,70
flat_LCDM,0.09137688442,38.10675272,70
EdS,0.09740201005,38.15132393,70
open_matter,0.09740201005,38.18829324,70
flat_LCDM,0.09740201005,38.25425413,70
EdS,0.1034271357,38.28455812,70
open_matter,0.1034271357,38.32380589,70
flat_LCDM,0.1034271357,38.39335545,70
EdS,0.1094522613,38.41039079,70
open_matter,0.1094522613,38.45191545,70
flat_LCDM,0.1094522613,38.52500081,70
EdS,0.1154773869,38.52961371,70
open_matter,0.1154773869,38.57341361,70
flat_LCDM,0.1154773869,38.64998256,70
EdS,0.1215025126,38.64289777,70
open_matter,0.1215025126,38.68897118,70
flat_LCDM,0.1215025126,38.7689722,70
EdS,0.1275276382,38.75081643,70
open_matter,0.1275276382,38.79916154,70
flat_LCDM,0.1275276382,38.88254375,70
EdS,0.1335527638,38.85386372,70
open_matter,0.1335527638,38.90447862,70
flat_LCDM,0.1335527638,38.99119179,70
EdS,0.1395778894,38.95246823,70
open_matter,0.1395778894,39.00535097,70
flat_LCDM,0.1395778894,39.09534552,70
EdS,0.1456030151,39.04700424,70
open_matter,0.1456030151,39.10215278,70
flat_LCDM,0.1456030151,39.19537974,70
EdS,0.1516281407,39.1378005,70
open_matter,0.1516281407,39.19521273,70
flat_LCDM,0.1516281407,39.29162376,70
EdS,0.1576532663,39.22514732,70
open_matter,0.1576532663,39.28482106,70
flat_LCDM,0.1576532663,39.38436844,70
EdS,0.163678392,39.30930238,70
open_matter,0.163678392,39.37123538,70
flat_LCDM,0.163678392,39.47387197,70
EdS,0.1697035176,39.39049538,70
open_matter,0.1697035176,39.45468535,70
flat_LCDM,0.1697035176,39.56036462,70
EdS,0.1757286432,39.46893203,70
open_matter,0.1757286432,39.5353766,70
flat_LCDM,0.1757286432,39.6440526,70
EdS,0.1817537688,39.54479724,70
open_matter,0.1817537688,39.61349397,70
flat_LCDM,0.1817537688,39.72512133,70
EdS,0.1877788945,39.61825782,70
open_matter,0.1877788945,39.68920423,70
flat_LCDM,0.1877788945,39.80373814,70
EdS,0.1938040201,39.68946479,70
open_matter,0.1938040201,39.76265834,70
flat_LCDM,0.1938040201,39.88005458,70
EdS,0.1998291457,39.75855534,70
open_matter,0.1998291457,39.83399342,70
flat_LCDM,0.1998291457,39.95420829,70
EdS,0.2058542714,39.82565441,70
open_matter,0.2058542714,39.90333437,70
flat_LCDM,0.2058542714,40.02632474,70
EdS,0.211879397,39.89087614,70
open_matter,0.211879397,39.97079529,70
flat_LCDM,0.211879397,40.09651856,70
EdS,0.2179045226,39.95432511,70
open_matter,0.2179045226,40.03648068,70
flat_LCDM,0.2179045226,40.16489479,70
EdS,0.2239296482,40.01609732,70
open_matter,0.2239296482,40.10048652,70
flat_LCDM,0.2239296482,40.23154992,70
EdS,0.2299547739,40.07628116,70
open_matter,0.2299547739,40.16290113,70
flat_LCDM,0.2299547739,40.2965728,70
EdS,0.2359798995,40.13495813,70
open_matter,0.2359798995,40.22380599,70
flat_LCDM,0.2359798995,40.36004542,70
EdS,0.2420050251,40.19220363,70
open_matter,0.2420050251,40.28327643,70
flat_LCDM,0.2420050251,40.42204361,70
EdS,0.2480301508,40.24808746,70
open_matter,0.2480301508,40.34138222,70
flat_LCDM,0.2480301508,40.48263764,70
EdS,0.2540552764,40.30267443,70
open_matter,0.2540552764,40.39818813,70
flat_LCDM,0.2540552764,40.54189277,70
EdS,0.260080402,40.35602479,70
open_matter,0.260080402,40.45375436,70
flat_LCDM,0.260080402,40.5998697,70
EdS,0.2661055276,40.40819466,70
open_matter,0.2661055276,40.50813701,70
flat_LCDM,0.2661055276,40.65662498,70
EdS,0.2721306533,40.45923639,70
open_matter,0.2721306533,40.56138838,70
flat_LCDM,0.2721306533,40.7122114,70
EdS,0.2781557789,40.50919892,70
open_matter,0.2781557789,40.61355737,70
flat_LCDM,0.2781557789,40.76667833,70
EdS,0.2841809045,40.55812804,70
open_matter,0.2841809045,40.66468974,70
