record_type,model_id,z_curve,mu_theory_curve,sn_name,source_table,z_true,mu_true,sigma_mu,m_apparent,lambda_Halpha,sample_type,quality,sequence_order,sequence_order_resolved,H0_km_s_Mpc,M_ref_type_Ia,Halpha_rest_A,implied_abs_M_from_m_mu,abs_M_minus_M_ref,lambda_Halpha_from_z_true,lambda_Halpha_minus_expected,flux_relative,sigma_z_assumed,rng_seed,z_obs,mu_obs,mu_model_EdS_z_true,mu_model_open_matter_z_true,mu_model_flat_LCDM_z_true,mu_model_EdS_z_obs,mu_model_open_matter_z_obs,mu_model_flat_LCDM_z_obs,residual_obs_minus_open_matter_at_z_obs,chi2_increment_EdS,chi2_increment_open_matter,chi2_increment_flat_LCDM,cumchi2_EdS_after_this_sequence,cumchi2_open_matter_after_this_sequence,cumchi2_flat_LCDM_after_this_sequence
supernova,,,,1996E,T6,0.43,42.03,0.22,22.73,9385.09,high-z,well-observed,,1,70,-19.3,6563,-19.3,0,9385.09,0,8.090959e-10,0.001,42,0.42985591,41.991961,41.511456,41.670287,41.87034,41.510678,41.669459,41.869476,0.32250202,4.785809,2.1489164,0.30997013,4.785809,2.1489164,0.30997013
supernova,,,,1996H,T6,0.62,43.01,0.15,23.71,10632.06,high-z,well-observed,,2,70,-19.3,6563,-19.3,3.5527137e-15,10632.06,-1.8189894e-12,3.2809529e-10,0.001,42,0.61988868,43.115298,42.366711,42.590336,42.825483,42.366288,42.589876,42.825008,0.52542107,24.934021,12.269658,3.7452337,29.71983,14.418574,4.0552038
supernova,,,,1996I,T6,0.57,42.83,0.21,23.53,10303.91,high-z,well-observed,,3,70,-19.3,6563,-19.3,3.5527137e-15,10303.91,0,3.8725764e-10,0.001,42,0.56987241,42.515556,42.169084,42.376036,42.604021,42.168559,42.375468,42.603433,0.14008763,2.7303132,0.445001,0.1751116,32.450143,14.863575,4.2303154
supernova,,,,1996J,T6,0.3,40.99,0.25,21.69,8531.9,high-z,well-observed,,4,70,-19.3,6563,-19.3,0,8531.9,0,2.1086281e-09,0.001,42,0.30033232,40.923166,40.681981,40.794312,40.95546,40.684515,40.796967,40.958233,0.12619899,0.91126737,0.25481895,0.01967579,33.36141,15.118394,4.2499912
supernova,,,,1996K,T6,0.38,42.21,0.18,22.91,9056.94,high-z,well-observed,,5,70,-19.3,6563,-19.3,0,9056.94,1.8189894e-12,6.8548823e-10,0.001,42,0.37978304,42.230859,41.225348,41.366494,41.553257,41.22403,41.365098,41.551799,0.86576164,31.28722,23.13405,14.232176,64.64863,38.252444,18.482167
supernova,,,,1996U,T6,0.43,42.34,0.17,23.04,9385.09,high-z,well-observed,,6,70,-19.3,6563,-19.3,-3.5527137e-15,9385.09,0,6.08135e-10,0.001,42,0.4302323,42.537805,41.511456,41.670287,41.87034,41.512709,41.671622,41.871732,0.86618295,36.36061,25.961,15.351324,101.00924,64.213444,33.833491
supernova,,,,1997ce,T6,0.44,42.26,0.16,22.96,9450.72,high-z,well-observed,,7,70,-19.3,6563,-19.3,3.5527137e-15,9450.72,0,6.5463617e-10,0.001,42,0.44065664,42.277681,41.56482,41.727157,41.92964,41.568283,41.73085,41.93349,0.54683093,19.658054,11.680628,4.6276458,120.66729,75.894071,38.461137
supernova,,,,1997cj,T6,0.5,42.7,0.16,23.4,9844.5,high-z,well-observed,,8,70,-19.3,6563,-19.3,-3.5527137e-15,9844.5,0,4.3651583e-10,0.001,42,0.49926168,42.537654,41.86244,42.045594,42.261185,41.858991,42.041891,42.257336,0.49576264,17.99153,9.6008045,3.069466,138.65882,85.494876,41.530603
supernova,,,,1997ck,T6,0.97,44.3,0.19,25,12929.11,high-z,well-observed,,9,70,-19.3,6563,-19.3,3.5527137e-15,12929.11,0,1e-10,0.001,42,0.97024634,44.549105,43.429506,43.762321,44.018489,43.430114,43.763001,44.01917,0.78610428,34.685341,17.118004,7.779269,173.34417,102.61288,49.309872
supernova,,,,1995K,T6,0.48,42.49,0.17,23.19,9713.24,high-z,well-observed,,10,70,-19.3,6563,-19.3,0,9713.24,0,5.2966344e-10,0.001,42,0.48004166,42.471925,41.767234,41.943491,42.154984,41.767436,41.943708,42.155209,0.52821708,17.173182,9.654439,3.4709015,190.51735,112.26732,52.780773
